instructions_key_resp_3.keys,instructions_key_resp_3.rt,participant ID,date,expName,psychopyVersion,OS,frameRate,cal_mouse_start.x,cal_mouse_start.y,cal_mouse_start.leftButton,cal_mouse_start.midButton,cal_mouse_start.rightButton,cal_mouse_start.time,cal_mouse_start.clicked_name,mouse_cal_end_2.x,mouse_cal_end_2.y,mouse_cal_end_2.leftButton,mouse_cal_end_2.midButton,mouse_cal_end_2.rightButton,mouse_cal_end_2.time,mouse_cal_end_2.clicked_name,instructions_key_resp.keys,instructions_key_resp.rt,instructions_key_resp_2.keys,instructions_key_resp_2.rt,mouse_hg.x,mouse_hg.y,mouse_hg.leftButton,mouse_hg.midButton,mouse_hg.rightButton,mouse_hg.clicked_name,mouse_hg_2.x,mouse_hg_2.y,mouse_hg_2.leftButton,mouse_hg_2.midButton,mouse_hg_2.rightButton,mouse_hg_2.clicked_name,loop_temporal.thisRepN,loop_temporal.thisTrialN,loop_temporal.thisN,loop_temporal.thisIndex,loop_temporal.ran,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_11.keys,key_resp_9.keys,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,durations,disp,start,rand,jitter,display,spatial,temporal,x_loc,box_loc,top_hg_loc,bottom_hg_loc,ystartdistractor1,ystartdistractor2,ystarttarget,xstartdistractor1,xstartdistractor2,durationsdistractor1,durationsdistractor2,jitterdistractor1,jitterdistractor2,dispdistractor1,dispdistractor2,key_resp_6.rt,mouse_startx.x,mouse_startx.y,mouse_startx.leftButton,mouse_startx.midButton,mouse_startx.rightButton,mouse_startx.time,mouse_startx.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop_spatial.thisRepN,loop_spatial.thisTrialN,loop_spatial.thisN,loop_spatial.thisIndex,loop_spatial.ran
space,2.2668,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,-189,5,1,0,0,1.8839,c_start_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,200,6,1,0,0,0.7316,c_end_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,space,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,space,0.7514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,-812,441,1,0,0,hg_bottom,-812,441,1,0,0,hg_bottom_2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.22,,,,0,0,0,10,1,2.5,330,-600,0.291418442,165,time,0,1,,,,,0,-100,100,-300,-200,0,0,37.5,17.5,75,35,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,-809,-421,1,0,0,hg_bottom,-808,-408,1,0,0,hg_bottom_2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2022-10-26_23h37.13.141,RRcb_task,2022.2.4,Win32,60.12867537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1839,space,,,0,1,1,3,1,5.25,35,-200,0.511515263,17.5,time,0,1,,,,,100,-100,0,-600,-400,2.5,1.75,165,300,330,600,1.3428,,,,,,,,,,,,,,,,,,,
